"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Winery_1238e4cf-745d-4c62-914e-3d5aa0f9aade_368b5bc6-7b85-4492-bed1-fbbc7c2900c2","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_149c2e0d-376e-410e-a3b4-be06a12b94f6_ac4dbc4c-13c4-49aa-8994-dbb9c98c8a65","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_16d10bc4-c25a-4cf9-bb83-1b3364131773_b58e3afd-2483-4274-b911-2c2b32a1d6a8","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_18efab51-1351-498c-9dc0-a558b80cdb0a_c572dfbf-018e-4d47-88f4-f66fb2bbc544","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_1bf151f6-18bd-4158-95bf-8d6a4216b535_e317520c-6215-4050-bb8f-1cdfe2431cec","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_1c519ce2-3366-4dfb-8ec5-5140d9a3e8cb_05a95432-be98-48e9-b260-a1b7b08f12fb","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_1d887a98-67f8-4619-8221-7398f8b01893_9f904337-be85-49a1-ad75-6637353d752d","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_1ed0a9b8-10d3-48b7-89d8-7c6d232b2c89_cb3e67f7-3772-4aea-bbe3-ab6d75153d8a","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_1f32ffc3-9d9f-417c-90ae-a6393b6e257a_3d4e0800-b384-4d4e-b76d-f6a523369c11","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
"http://lariojaturismo.gnoss.com/items/Winery_2044883c-8dd7-49df-acdf-d3ecd518f22f_32a3355e-a222-42be-902d-c4ba7b950304","http://www.w3.org/2000/01/rdf-schema#label","http://protege.stanford.edu/rdf/HTOv4002#Winery",""
