"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Landmark_17754188-2946-4c03-a010-7c232af4c2bb_698469da-e077-4c01-aa3c-b463bd567ae3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1797d631-316d-4d88-b94c-507d180da95c_f2b59532-2974-41cf-9b05-2a8cd22a48e0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1830c1a1-c0cf-41df-b244-aa0e10bd41cd_e9958f31-479c-4377-9c92-96490958170f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_18dba676-1b90-4546-ac29-9e73110fe114_9dd8c32e-dca2-4f11-8fcf-711199cd49c8","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1ab65f8c-960a-4eea-8852-da1a2d4e8fdc_0f9c4ed1-685e-42fd-a1c0-86c2e39d0977","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1b05883f-e9fc-4c6c-a99a-7ecb70947301_1014a94c-e4d2-4623-9a0a-251f3e2c3a0f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1b653020-323a-4fe1-a560-d2978ab3d960_3a1c4a4d-aad9-4761-bbdd-3a2f2c289606","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1bb4f57f-3781-4571-ab54-67403f15755c_207c9c95-3f90-4381-ab18-7d5f1a99dbf7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1c52907d-2c5e-4bf5-9589-7b8edbea4ed6_be9e80a9-ae5a-4e61-9561-26e8a11c3900","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_1c877062-6305-4be4-becc-7d690b3098d5_63c1d33d-3cbc-4da5-aefd-6d49491160f3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
