"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/TouristService_301b2d10-87e4-4967-bfc9-415f69a0e572_88fa8f81-8434-4bff-a7b0-bfd638ced5a7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_30707bd1-e268-4ec2-b604-07280f556340_bc5c20d1-6002-43f8-8f01-0eb8c2206fcf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_309d4e13-deb6-49d9-9a25-ee723f4d77c5_1aba84c6-28db-4abe-99b0-601f58997664","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_314046d1-5d1f-4da5-9afa-b94b97259dff_171217ea-8ef8-4952-88f3-5536466d0cba","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_31c79f60-0f2b-4604-8ecb-6de1514f991b_b3810439-1161-4200-b708-f35c3c7f0dea","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_3352d55f-a128-41bc-bf3a-b7f8e62ac64f_4f856cb3-17d0-414e-a33f-e0e13a077598","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_3945667f-d936-49f2-9a67-c31f60265878_babb8eb1-45a7-4838-82a4-647304b9cb2b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_3c76a14d-c312-42fd-a373-abf94908db56_a35ac35e-8e17-49ae-ae13-28a6fa10782c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_3eca744e-242e-4397-8b11-fb46cc01772f_c32edf9b-5cb4-42b6-a156-6cb442f9e757","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_3f435610-e69d-4008-8d00-7b5ff52f8896_c1c09862-5903-49b0-86d8-e382293a1502","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_3fb952d4-bf99-4402-9f61-7fe7a1c59464_35e58172-2960-4de6-9147-ba1840889996","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_4135de84-9180-47ab-a82f-ec838b6c60c3_f9e01c91-b6de-43dc-8ab0-90fe6e067f0d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_41bb1283-451e-4175-9075-e5522d58d82b_832923ee-fbdd-4930-8736-19b58112a73a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_43bce5b2-96ab-4baa-ac12-ea8f9321cdd7_62a688a8-b0f2-4669-b6f8-2cf5fd2e5c0e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_45fe2ffe-3c57-4e4c-b27e-6c49569e0dbd_fda9bf23-b42d-44d3-9901-163bba8c3e98","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_47ddeaf3-39f1-4d6b-b864-9b2c2aeb101a_effb832b-5ffd-4ba1-868e-f1a0193cd4ec","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_4aa6352c-efb5-4750-9978-e1f9ec8483ac_56cb9972-0edc-4f6f-937b-4818597ea309","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_4c06b5e7-a752-42d6-8bbc-2ef684c3cc2e_19398279-777e-4b83-8453-5a8eb991cf29","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
"http://lariojaturismo.gnoss.com/items/TouristService_4d4f2b28-ab92-4bc3-b55c-0b06d08e2516_56512eb4-1a87-45ad-a4cd-acf379b9e70d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#TouristService",
